,fed_rssd,inst.webaddr,cbsa_metro,mutual,cert,docket,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,county,cbsa_metro_name,estymd,offdom,offfor,stmult,specgrp,subchaps,insdate,effdate,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb
3210,211271,www.nasb.com,28140.0,Stock,29708,3927,0,"North American Savings Bank, F.S.B.",Grandview,MO,64030,3/31/2019,5/19/2019,SA,125th And South 71 Highway,,Jackson,"Kansas City, MO-KS",1/1/1923,11,0,0,5,0,12/30/1940,7/13/2016,0,0,OCC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,1
3211,809678,www.northarundelsavingsbank.com,12580.0,Non-Stock,31109,6390,0,North Arundel Savings Bank,Pasadena,MD,21122,3/31/2019,5/19/2019,SB,125 Mountain Road,,Anne Arundel,"Baltimore-Columbia-Towson, MD",1/1/1956,1,0,0,5,0,12/14/1959,1/22/2016,0,0,FDIC,DIF,New York,NEW YORK,Baltimore,Richmond,Northeastern,Southeast,0,1
3212,528102,www.northbrookfieldsavingsbank.com,49340.0,Non-Stock,90258,12044,0,North Brookfield Savings Bank,North Brookfield,MA,1535,3/31/2019,5/19/2019,SM,9 Gilbert Street,,Worcester,"Worcester, MA-CT",8/3/1854,7,0,0,5,0,11/8/1985,6/1/2014,0,0,FED,DIF,New York,NEW YORK,Springfield Ma,Boston,Northeastern,Northeast,0,1
3213,931270,www.asknccb.com,14460.0,Non-Stock,26567,4594,0,North Cambridge Co-operative Bank,Cambridge,MA,2140,3/31/2019,5/19/2019,SB,2360 Massachusetts Avenue,,Middlesex,"Boston-Cambridge-Newton, MA-NH",1/1/1912,1,0,0,5,0,2/5/1986,3/31/2006,0,0,FDIC,DIF,New York,NEW YORK,North Boston,Boston,Northeastern,Northeast,0,1
3214,565536,www.ncb-ebanc.com,,Stock,17241,15600,1136492,North Central Bank,Hennepin,IL,61327,3/31/2019,5/19/2019,NM,126 E. High Street,"PUTNAM COUNTY BANCORP, INC.",Putnam,,12/7/1946,2,0,0,2,1,6/23/1953,3/24/2015,0,0,FDIC,DIF,Chicago,CHICAGO,Princeton,Chicago,Central,Central,0,1
3215,482370,www.ncsbank.com,,Non-Stock,30656,5696,0,North County Savings Bank,Red Bud,IL,62278,3/31/2019,5/19/2019,SB,411 West Market Street,,Randolph,,1/1/1887,3,0,0,8,0,4/5/1954,12/31/2009,0,0,FDIC,DIF,Chicago,CHICAGO,Mount Vernon,St. louis,Central,Central,0,1
3216,490450,www.ndbt.com,19100.0,Stock,18355,0,0,North Dallas Bank & Trust Co.,Dallas,TX,75230,3/31/2019,5/19/2019,NM,12900 Preston Road,,Dallas,"Dallas-Fort Worth-Arlington, TX",3/20/1961,6,0,0,4,0,3/20/1961,3/31/2006,0,1,FDIC,DIF,Dallas,DALLAS,Dallas,Dallas,Southern,West,0,1
3217,527600,www.northeastonsavingsbank.com,39300.0,Non-Stock,90259,10965,0,North Easton Savings Bank,South Easton,MA,2375,3/31/2019,5/19/2019,SB,20 Eastman Street,,Bristol,"Providence-Warwick, RI-MA",2/8/1864,10,0,0,5,0,9/6/1985,4/29/2019,0,0,FDIC,DIF,New York,NEW YORK,South Boston,Boston,Northeastern,Northeast,0,1
3218,2769954,www.ngnb.net,,Stock,34662,0,2908650,North Georgia National Bank,Calhoun,GA,30701,3/31/2019,5/19/2019,N,350 West Belmont Drive,"NORTH GEORGIA COMMUNITY FINANCIAL PARTNERS, INC.",Gordon,,2/10/1999,4,0,0,4,0,2/10/1999,3/31/2006,0,0,OCC,DIF,Atlanta,ATLANTA,Atlanta,Atlanta,Southern,Southeast,0,1
3219,126553,www.northshore.bank,20260.0,Stock,8850,0,1136540,North Shore Bank of Commerce,Duluth,MN,55802,3/31/2019,5/19/2019,SM,131 West Superior Street,NORTH SHORE FINANCIAL CORPORATION,Saint Louis,"Duluth, MN-WI",9/14/1915,7,0,0,4,1,1/1/1934,1/1/2012,0,1,FED,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1
