,cert,fed_rssd
1067,5677,216632
1068,22312,1006344
1069,28480,596277
1070,33826,2078290
1071,15010,241559
1072,12305,891253
1073,27499,1391778
1074,57570,3224580
1075,983,60143
1076,1596,772446
1077,58446,3537897
1078,34938,2746245
1079,24998,601050
1080,10212,49054
1081,23772,625159
1082,57279,3131400
1083,15346,174367
1084,35019,2807173
1085,57429,3148613
1086,58020,3366239
1087,57176,3052813
1088,59114,5227101
1089,27409,1225752
1090,11777,296559
1091,22354,497039
1092,12246,42457
1093,18584,513340
1094,9310,358112
1095,8660,467658
1096,90,23643
1097,14333,945026
1098,57417,3189063
1099,15741,1008553
1100,9811,829452
1101,1209,885869
1102,16246,381932
1103,34784,2756730
1104,19024,794149
1105,231,194440
1106,16188,415855
1107,10330,1017564
1108,13819,479754
1109,1986,924553
1110,35319,2823230
1111,9932,129853
1112,9791,709451
1113,2289,548829
1114,10146,189044
1115,57873,3337097
1116,29842,275479
1117,8126,541642
1118,22229,578237
1119,31272,361279
1120,58576,3603970
1121,16854,768458
1122,7848,371924
1123,25752,572655
1124,1687,276953
1125,25750,250850
1126,8975,938550
1127,17445,779360
1128,14649,675042
1129,34020,2304636
1130,10791,430344
1131,35258,2851185
1132,17108,549862
1133,13068,957757
1134,32968,1474309
1135,25796,761833
1136,23189,1015841
1137,34683,2655495
1138,58311,3446784
1139,9760,835257
1140,12349,385350
1141,18568,958231
1142,23551,766052
1143,33805,2044820
1144,57579,3213333
1145,13951,974754
1146,22636,706656
1147,35094,2724766
1148,8879,460033
1149,57141,3005097
1150,34325,2445052
1151,34857,2702764
1152,4217,412452
1153,19681,901134
1154,35513,2943615
1155,58423,3448425
1156,22867,716851
1157,57073,2997216
1158,14776,257466
1159,34210,2483438
1160,30903,697978
1161,4646,725853
1162,35212,2860039
1163,18889,255547
1164,35118,2775692
1165,57468,3139321
1166,6989,202907
1167,26871,77422
1168,34160,553038
1169,920,102539
1170,26363,299868
1171,10568,168357
1172,57129,3040418
1173,27053,47256
1174,287,698144
1175,11595,175140
1176,12426,252658
1177,35020,2775179
1178,5197,923855
1179,12512,62147
1180,10595,756848
1181,15907,36456
1182,34627,2642598
1183,57511,3165357
1184,3846,273840
1185,32838,1440117
1186,6584,579319
1187,34610,2615220
1188,35585,2907019
1189,25665,354552
1190,6271,270504
1191,19272,785932
1192,57395,3121308
1193,23431,643452
1194,24897,293053
1195,27046,923752
1196,18185,738769
1197,19230,775241
1198,25161,371559
1199,2787,466932
1200,30819,441078
1201,14604,527057
1202,5219,813853
1203,27969,476472
1204,14633,646743
1205,28841,520777
1206,32286,847979
1207,34944,2735324
1208,50,470032
1209,9536,130345
1210,230,849348
1211,17551,92144
1212,23257,987231
1213,19749,906652
1214,5619,378044
1215,17734,853934
1216,8067,322449
1217,27201,1176920
1218,22567,367150
1219,58732,3617856
1220,14883,502746
1221,1839,987848
1222,10114,772240
1223,18272,790543
1224,26416,147651
1225,1936,825548
1226,16976,121914
1227,21988,875048
1228,8058,198046
1229,13380,484141
1230,2720,509811
1231,58500,3637706
1232,27572,1412712
1233,3363,774262
1234,19048,697633
1235,29430,373272
1236,9727,273653
1237,8527,819556
1238,13788,164957
1239,57614,3187630
1240,28677,203575
1241,5634,126049
1242,34876,2756909
1243,955,624246
1244,58076,3357947
1245,57919,3317932
1246,19482,477321
1247,57571,3220863
1248,21578,837037
1249,4649,972750
1250,8231,398837
1251,34363,976552
1252,18063,474656
1253,18100,361055
1254,16868,177555
1255,35286,2850768
1256,13198,879457
1257,30067,843476
1258,2318,537355
1259,5496,403151
1260,57250,3027763
1261,5635,514048
1262,90282,447100
1263,10045,978239
1264,58859,3816163
1265,33137,1478231
1266,58411,3485420
1267,57061,2929392
1268,21525,914853
1269,35027,2992501
1270,14264,544652
1271,6063,61355
1272,13616,837046
1273,8798,473930
1274,17160,921655
1275,18361,457752
1276,35602,449935
1277,27226,1191482
1278,23992,689209
1279,8888,625654
1280,21952,225335
1281,1438,474357
1282,12220,1016848
1283,33009,1459735
1284,12126,477844
1285,29231,658072
1286,9155,271529
1287,58502,3540310
1288,21998,697035
1289,8725,544951
1290,8511,810544
1291,33855,2122997
1292,25620,639567
1293,33492,1885932
1294,57135,3013823
1295,28818,172475
1296,21163,297631
1297,24561,1015467
1298,13821,989347
1299,30260,1007873
1300,9322,755252
1301,58410,3783313
1302,58648,3594005
1303,10709,564463
1304,21486,158741
1305,29839,228279
1306,10352,701857
1307,35480,2860271
1308,34259,2686211
1309,34681,2624400
1310,19416,996260
1311,30167,934673
1312,29293,28675
1313,11358,202514
1314,2691,647218
1315,8833,343958
1316,18443,900146
1317,28543,481579
1318,34444,2354985
1319,31905,729178
1320,11666,543262
1321,17437,256553
1322,17162,57451
1323,15728,815156
1324,16231,860352
1325,504,464255
1326,8637,827458
1327,29208,971070
1328,20727,384652
1329,20931,530703
1330,14772,223845
1331,35510,644954
